iter	RMSE
0	567674.1008
1	567422.8067
2	567120.7795
3	566856.1216
4	566571.7752
5	566322.315
6	566083.3953
7	565804.5933
8	565516.238
9	565234.1015
10	565014.4668
11	564767.3383
12	564482.9488
13	564229.5564
14	563977.1486
15	563689.3501
16	563472.776
17	563196.6819
18	562947.3226
19	562687.7401
20	562455.74
21	562218.8353
22	561972.536
23	561759.7467
24	561552.2513
25	561270.676
26	561025.6519
27	560768.5183
28	560512.7571
29	560278.9734
30	560045.8181
31	559814.4085
32	559530.1032
33	559274.9608
34	559030.4618
35	558789.6186
36	558556.6182
37	558339.0864
38	558093.2531
39	557839.5414
40	557573.5931
41	557317.1582
42	557071.7511
43	556830.9338
44	556611.4998
45	556392.1118
46	556130.2263
47	555858.8067
48	555616.797
49	555368.9397
50	555153.4218
51	554874.475
52	554598.6635
53	554346.2144
54	554077.301
55	553845.2765
56	553585.3947
57	553362.8004
58	553074.5759
59	552848.236
60	552627.965
61	552390.556
62	552126.6428
63	551891.0315
64	551613.6265
65	551412.5244
66	551154.5705
67	550921.0723
68	550695.635
69	550435.8663
70	550215.054
71	549990.1792
72	549718.5677
73	549493.4664
74	549268.4741
75	549016.3205
76	548725.4278
77	548505.9026
78	548266.8109
79	548020.7861
80	547787.858
81	547551.1911
82	547276.9935
83	547010.9877
84	546772.9094
85	546562.5177
86	546327.718
87	546085.9074
88	545850.0188
89	545632.3444
90	545412.8497
91	545194.2663
92	544969.7997
93	544735.9707
94	544468.4813
95	544273.0368
96	544064.204
97	543849.2507
98	543627.5246
99	543396.1314
100	543116.1581
101	542887.4143
102	542671.6948
103	542428.1804
104	542225.9513
105	542030.4983
106	541785.6902
107	541558.125
108	541319.6892
109	541101.1212
110	540880.8518
111	540627.5717
112	540372.8325
113	540139.7157
114	539928.4367
115	539701.7865
116	539460.4373
117	539225.0331
118	539004.4056
119	538790.6553
120	538549.4403
121	538350.538
122	538128.8903
123	537900.6078
124	537677.2623
125	537424.9512
126	537201.3952
127	536993.0834
128	536744.3714
129	536518.8602
130	536312.4489
131	536145.9313
132	535971.5214
133	535766.9807
134	535515.7117
135	535305.2435
136	535035.2975
137	534807.2505
138	534559.0699
139	534340.5285
140	534127.3574
141	533908.7799
142	533691.6523
143	533442.1759
144	533238.89
145	532981.4665
146	532770.8678
147	532613.1651
148	532410.2475
149	532216.0738
150	531969.6527
151	531775.1886
152	531574.996
153	531378.087
154	531166.804
155	530956.3034
156	530734.5841
157	530548.7874
158	530325.2335
159	530090.5191
160	529895.0575
161	529717.4829
162	529492.646
163	529263.2218
164	529069.2194
165	528861.5343
166	528612.137
167	528355.8989
168	528150.3884
169	527947.1089
170	527751.7033
171	527540.9548
172	527337.3817
173	527187.8816
174	526958.693
175	526751.7397
176	526572.4757
177	526330.3725
178	526107.0971
179	525891.7252
180	525708.9932
181	525501.2926
182	525274.6057
183	525032.2588
184	524792.9937
185	524554.1894
186	524348.4464
187	524131.6055
188	523912.6342
189	523747.0222
190	523535.6438
191	523297.1055
192	523035.5354
193	522842.1002
194	522652.212
195	522463.8272
196	522280.2304
197	522076.0082
198	521898.196
199	521686.1475
200	521455.6585
201	521256.6353
202	521078.1094
203	520895.3643
204	520645.5589
205	520443.3954
206	520236.0108
207	520007.6012
208	519806.7393
209	519599.811
210	519427.7275
211	519243.6925
212	519037.1172
213	518847.1347
214	518648.4038
215	518425.2824
216	518226.5059
217	518016.8454
218	517819.8061
219	517614.8032
220	517431.8264
221	517221.0787
222	516984.5333
223	516758.2103
224	516579.9322
225	516387.0839
226	516216.1942
227	515984.7796
228	515754.0688
229	515558.7933
230	515359.3894
231	515145.2997
232	514918.8857
233	514731.8172
234	514508.1063
235	514331.4539
236	514157.4903
237	513967.5319
238	513751.4068
239	513545.1403
240	513401.6151
241	513151.1755
242	512996.5479
243	512825.4495
